"action_id","op","src_path","dst_path","notes"
"P05_000001","QUARANTINE_PLAN","C:\RH\OPS\BUILD\scripts\phase6\Phase6-CanonicalInbox.ps1","C:\RH\TEMPORARY\phase05_low_confidence\BUILD\scripts\phase6\Phase6-CanonicalInbox.ps1","label_unmapped"
"P05_000002","MOVE_PLAN","C:\RH\OPS\BUILD\scripts\phase6\README_DEPRECATED.md","C:\RH\OPS\BUILD\scripts\phase6\README_DEPRECATED.md","mapped_label"
"P05_000003","MOVE_PLAN","C:\RH\OPS\PROJECTS\RH_MIGRATION_2026_V2.zip","C:\RH\OPS\PROJECTS\PROJECTS\RH_MIGRATION_2026_V2.zip","mapped_label"
"P05_000004","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\_latest_attempt2_output_path.txt","","outputs_source_disallowed"
"P05_000005","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\attempt1_collapse_causes_02-08-2026.md","","outputs_source_disallowed"
"P05_000006","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_execute_attempt2_moves_02-08-2026.ps1","","outputs_source_disallowed"
"P05_000007","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_output_02-08-2026.txt","","outputs_source_disallowed"
"P05_000008","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\duplicate_scripts_snapshot_02-08-2026.csv","","outputs_source_disallowed"
"P05_000009","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\full_destination_move_manifest_02-08-2026.csv","","outputs_source_disallowed"
"P05_000010","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\knownfolders_snapshot_02-08-2026.csv","","outputs_source_disallowed"
"P05_000011","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\model_context_packet_02-08-2026.md","","outputs_source_disallowed"
"P05_000012","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\reality_inventory_02-08-2026.csv","","outputs_source_disallowed"
"P05_000013","EXCLUDED","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\test.txt","","outputs_source_disallowed"
"P05_000014","EXCLUDED","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\config","","Excluded: .git internals"
"P05_000015","EXCLUDED","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\description","","Excluded: .git internals"
"P05_000016","EXCLUDED","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\FETCH_HEAD","","Excluded: .git internals"
