"action_id","op","src_path","dst_path","notes"
"P05_000001","SKIP","C:\RH\OPS\BUILD\scripts\phase6\Phase6-CanonicalInbox.ps1","C:\RH\TEMPORARY\phase05_low_confidence\Phase6-CanonicalInbox.ps1","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000002","SKIP","C:\RH\OPS\BUILD\scripts\phase6\README_DEPRECATED.md","C:\RH\OPS\README_DEPRECATED.md","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000003","SKIP","C:\RH\OPS\PROJECTS\RH_MIGRATION_2026_V2.zip","C:\RH\OPS\PROJECTS\RH_MIGRATION_2026_V2.zip","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000004","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\_latest_attempt2_output_path.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000005","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\attempt1_collapse_causes_02-08-2026.md","","unsupported_or_review_op:EXCLUDED"
"P05_000006","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_execute_attempt2_moves_02-08-2026.ps1","","unsupported_or_review_op:EXCLUDED"
"P05_000007","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_output_02-08-2026.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000008","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\duplicate_scripts_snapshot_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000009","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\full_destination_move_manifest_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000010","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\knownfolders_snapshot_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000011","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\model_context_packet_02-08-2026.md","","unsupported_or_review_op:EXCLUDED"
"P05_000012","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\reality_inventory_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000013","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\test.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000014","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\config","C:\RH\OPS\PROJECTS\config","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000015","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\description","C:\RH\OPS\PROJECTS\description","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000016","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\FETCH_HEAD","C:\RH\OPS\PROJECTS\FETCH_HEAD","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000017","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\HEAD","C:\RH\OPS\PROJECTS\HEAD","unsupported_or_review_op:REVIEW_COLLISION"
"P05_000018","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\index","C:\RH\OPS\PROJECTS\index","unsupported_or_review_op:REVIEW_COLLISION"
